MLS,Property,Status,Type,City,Sold Price,Sold Date,List Price,List Date,Bed,Bath,Kitchen,Tax,year,Floor,Lot,Levels,Parking,Photos,Address,GPS,URL,Agency,Description,Feature,Influence,Amenities
R2723959,11004 KINGSTON STREET,Active,House,Maple Ridge,not sold,not sold,"$1,259,900",-,5,3,2,"$6,053 in 2022",2001,"3,377",5742 SqFt.,-,"Garage; Double,RV Parking Avail.",40,"11004 Kingston St, Maple Ridge, BC V2X 9P9, Canada","49.20201, -122.66001",https://www.bccondosandhomes.com/listing/r2723959-11004-kingston-street,Royal LePage West Real Estate Services,"SOUTH FACING with river views! Situated on a private cul-de-sac, rests this well-kept 3,377 Sq.Ft. 5 bdrm, 3 bath home. The formal lvgrm/dinrm features vaulted ceilings and huge windows for plenty of natural light. The expansive kitchen is an entertainer’s dream, it boasts shaker style cabinets, a huge pantry and is open to the family room that leads you out to the balcony with views of the river. Head down the hall to the 3 bdrms where you’ll find the master with 4-piece ensuite and huge walk-in closet. Downstairs you’ll find a second living space with separate entry and two extra bedrooms. A/C and parking for your boat and RV! Centrally located and just minutes from the West Coast Express, the Golden Ears Bridge, trails, schools, shopping and more! Interactive Virtual Tour (coming soon)!",Air Conditioning ClthWsh/Dryr/Frdg/Stve/DW Garage Door Opener Refrigerator Smoke Alarm Stove Vaulted Ceiling Windows - Thermo,Central Location Cul-de-Sac Golf Course Nearby Private Yard Recreation Nearby Shopping Nearby,-
R2721665,1404 - 4400 BUCHANAN STREET,Active,Apartment,Burnaby,not sold,not sold,"$998,000",-,2,2,1,"$2,737 in 2021",2010,"1,167",,-,Garage; Underground,35,"4400 Buchanan St #1404, Burnaby, BC V5C 0E3, Canada","49.26717, -123.00487",https://www.bccondosandhomes.com/listing/r2721665-1404-4400-buchanan-street,RE/MAX Colonial Pacific Realty,"Motif at CITI. Built by Bosa and located in the heart of Brentwood, a short walk to the redeveloped Brentwood Mall Complex and Millennium Line Skytrain. In excellent condition and tastefully decorated, this 2 bedrm/2 bath suite features a huge wrap around balcony providing panoramic views South East all the way to Mt. Baker. You'll appreciate the upscale island kitchen with stainless steel appliances, quartz countertops and two door pantry. A gas fireplace in your living area adds to the ambience. Building amenities include a exercise area, hot tub/sauna, lounge and courtyard. You won't be disappointed.",ClthWsh/Dryr/Frdg/Stve/DW Drapes/Window Coverings Hot Tub Spa/Swirlpool Pantry Sprinkler - Fire Storage Shed,Recreation Nearby Shopping Nearby, Bike Room Elevator Exercise Centre Storage Swirlpool/Hot Tub
R2717094,16524 22 AVENUE,Active,House,Surrey,not sold,not sold,"$1,795,000",-,5,5,2,"$3,293 in 2022",2022,"2,804",3488 SqFt.,-,Garage; Double,38,"16524 22 Ave, Surrey, BC V4A 2C2, Canada","49.04197, -122.79575",https://www.bccondosandhomes.com/listing/r2717094-16524-22-avenue,Century 21 Coastal Realty Ltd.,"A Beautifully crafted build by WoodCrest Homes. This remarkable home features an open floor plan with 5 bedrooms and 5 bathrooms including a spacious 2 bedroom suite with its own laundry. As you enter this fabulous home you are greeted by a large great room. The gourmet kitchen provides S/S Fisher & Paykel appliances plus a free standing gas range with tastefully appointed quartz countertops and an entertainers island that overlooks your family room and nook. Top floor offers 3 bedrooms all with vaulted ceilings, Den (Can be a 4th bedroom) and a laundry room for added convenience! Master bedroom consists of large windows that overlook the peek a boo view of the ocean with a spa inspired ensuite. The basement has a vast media room with its own full bathroom for upstairs use.",ClthWsh/Dryr/Frdg/Stve/DW Security System Vacuum - Roughed In Vaulted Ceiling,Recreation Nearby Shopping Nearby,-
R2724063,7705 PRINCE ALBERT STREET,Active,House,Vancouver,not sold,not sold,"$1,650,000",-,5,3,2,"$4,942 in 2021",1939,"1,635",3412 SqFt.,-,Garage; Single,40,7705 Prince Albert Street,,https://www.bccondosandhomes.com/listing/r2724063-7705-prince-albert-street,Keller Williams Realty VanCentral,"Meticulously maintained with loads of recent updates. Look no further, you've found the perfect 3-bed, 2-bath up PLUS 2-bed mortgage helper below. Updates include: electrical w/ upgraded panel (200 amps), hot water tank, plumbing, roof & gutters, perimeter drainage & extensive landscaping & gardening updates. You'll love the modern, updated kitchen w/ beautiful south west light. Enjoy the spectacular sunset w/ water & mountain views. This beloved pocket of East Van has fantastic amenities & makes getting in & out of town easy! Steps to Moberly Park, Arts Centre & Moberly Elementary School, walking distance to the commercial shopping on Fraser St & the Superstore on SE Marine Drive. Enjoy the private tranquility of your own backyard. Call today!",ClthWsh/Dryr/Frdg/Stve/DW,Central Location Recreation Nearby Shopping Nearby, Garden In Suite Laundry Storage
R2723064,8567 204TH STREET,Active,Townhouse,Langley,not sold,not sold,"$1,458,800",-,4,5,-,,2022,"3,364",,-,"Add. Parking Avail.,Garage; Double,Visitor Parking",39,4 - 8567 204TH Street,,https://www.bccondosandhomes.com/listing/r2723064-4-8567-204th-street,Oakwyn Realty Ltd.,"Welcome to Yorkson Park. Langley’s newest addition to the fastest growing and most sought after communities, Willoughby Heights. This brand new Townhome is a unique offering thoughtfully laid out over 3,363 SF- including 4 bedrooms, 5 bathrooms expanding through 4 stories. Each level is easily enjoyed with your in suite elevator servicing all floors. 450+SF rooftop patio, features gas fireplace, custom Pergola, reenforced platform to add your own hot tub. Entertain year round 110SF retractable glass solarium. Upgrades include - main floor 4th bedroom and full bathroom, laminate hardwood throughout entire home. Heated floors in every bathroom. Stay cool with central AC. Basement offers - gym area, bathroom and 340SF theatre room. GST PAID. Come see this one for yourself. OPEN SAT/SUN 1-3PM",-,Central Location Golf Course Nearby Recreation Nearby Shopping Nearby, Air Cond./Central Elevator Exercise Centre Playground Storage
R2721258,103 - 12083 92A AVENUE,Active,Apartment,Surrey,not sold,not sold,"$599,000",-,2,2,1,"$1,672 in 2021",2003,820,,-,Garage; Underground,18,"12083 92a Ave #103, Surrey, BC V3V 8C8, Canada","49.1715, -122.88834",https://www.bccondosandhomes.com/listing/r2721258-103-12083-92a-avenue,SRS Panorama Realty,"Location...Location...Location. Ground floor beautiful corner unit with a private yard in a well sought neighborhood is now available for sale. Secured building, with recreation room with full kitchen, exercise room, guest suite , storage locker and underground parking. Walking distance to public transit, shopping, restaurants and many more...What are you looking for? You found a home...",ClthWsh/Dryr/Frdg/Stve/DW,-, Elevator Exercise Centre Garden Guest Suite In Suite Laundry
R2723627,209 - 22315 122 AVENUE,Active,Apartment,Maple Ridge,not sold,not sold,"$635,000",-,2,2,1,"$2,440 in 2022",2019,837,,-,Garage; Underground,5,"22315 122 Ave #209, Maple Ridge, BC V2X 3X8, Canada","49.22418, -122.60899",https://www.bccondosandhomes.com/listing/r2723627-209-22315-122-avenue,RE/MAX Crest Realty,"Excellent floorplan with 2 bedrooms on opposites sides & each have an ensuite featuring quartz counters. The entertainer's kitchen features stainless steel appliances, granite counter tops, under cabinet lighting & white soft close cabinets. Wide plank laminate flooring & 9"" ceilings. Located close to rivers, lakes, parks, shops, restaurants, transit & the fitness/community centre.",ClthWsh/Dryr/Frdg/Stve/DW Dishwasher Drapes/Window Coverings Garage Door Opener Microwave,Central Location Golf Course Dev. Greenbelt Recreation Nearby Shopping Nearby Treed, Elevator Exercise Centre In Suite Laundry Storage
R2719100,5420 MATUKWUM LANE,Active,House,Sechelt,not sold,not sold,"$399,000",-,3,1,1,"$1,550 in 2021",1982,990,11847 SqFt.,-,Open,31,"5420 Matukwum Ln, Sechelt, BC V0N 3A2, Canada","49.41217, -123.60729",https://www.bccondosandhomes.com/listing/r2719100-5420-matukwum-lane,RE/MAX City Realty,"A fantastic and more affordable way to enter the market or enjoy a Coastal getaway! This three bedroom home has been extensively renovated and upgraded to a make for easy livin'. There is a separate, 200+sqft, studio space perfect for work, creativity and/or guests. The rear yard is private and tranquil. The location is walking distance to Tsain Ko Centre, the movie theatre and other services and amenities. Call today.",Refrigerator Stove,-,-
R2723994,1204 - 1055 HOMER STREET,Active,Apartment,Vancouver,not sold,not sold,"$1,350,000",-,2,2,1,"$3,137 in 2022",2003,"1,020",,-,"Garage Underbuilding,Garage; Underground",34,1204 - 1055 Homer Street,,https://www.bccondosandhomes.com/listing/r2723994-1204-1055-homer-street,Faith Wilson Group,"Soak in the sprawling textural city views overlooking Yaletown from the highly desired, Domus! Nestled in the SE corner, the natural light showcases this luxurious designer suite like no other. This 2 BR and 2 Bath home has been thoughtfully executed with its sleek, contemporary kitchen featuring a beautiful quartz island - perfect for entertaining, a generous office, plus another ample flex space –perfect as a second office or closet. Relax in your spa-like bathrooms, with accent wraparound tiles that are truly a showstopper! The principle bedroom features a walk-in closet plus additional closet systems for optimal storage, a rare gem for Downtown living. In the heart of Yaletown, enjoy the boutique condo lifestyle with complete amenities: gym, sauna/steam, lounge. 1 parking + 1 storage.",ClthWsh/Dryr/Frdg/Stve/DW Drapes/Window Coverings Garage Door Opener,Central Location Recreation Nearby Shopping Nearby, Bike Room Elevator Exercise Centre Guest Suite In Suite Laundry Sauna/Steam Room Storage
R2723898,1608 68TH AVENUE,Active,House,Vancouver,not sold,not sold,"$2,798,000",-,6,4,2,"$8,097 in 2022",2004,"2,117",3838 SqFt.,-,"Garage; Double,Open",36,1608 68TH Avenue,,https://www.bccondosandhomes.com/listing/r2723898-1608-w-68th-avenue,Royal Pacific Realty Corp.,"Bright and well kept home sits on 33' x 116.3' (3837 sqft) corner lot in the SW Marine area! This over 2100 sq ft features new lightings, 9' high ceilings, spacious layout, kitchens with granite countertops, stainless steel appliances, gas fireplace, and radiant floor heating. Upstairs with 3 spacious bedrooms and 2 baths. Downstairs features a cozy family room w/ wetbar, bedroom and a 2 bedroom suite with separated entry, currently rented for $1600 per month. Double car garage plus a single car open parking. Magee Secondary and McKechnie Elementary School catchments. Very conveniently located just west of Granville Street. Steps to Safeway, transit, restaurants, cafes, banks. Minutes to UBC and Richmond. ",ClthWsh/Dryr/Frdg/Stve/DW,Central Location Golf Course Nearby Private Setting Private Yard Shopping Nearby,-
